0
0	8Il6980di8P89lil1PDIqqIbiq1QO8lQ	MAKE IT BETTER	mitsu-O!	1	3	7	9	12		7	9	11	
1	06loOQ0DQb0DqbOibl6qO81qlIdoP9DI	PARANOiA	180	1	4	8	9	11		8	13	11	
2	Pb9II0oiI9ODQ8OP8IqIPQP9P68biqIi	TRIP MACHINE	DE-SIRE	1	3	8	9	10		9	10	10	
3	dq190Il9iO1bD698ll6ddObIlqdIQ1O9	AM-3P	KTz	2	3	7	8	11		8	9	10	
4	DblIbDd6lQQQoO9bloOI9iIqO1IiQoID	BRILLIANT 2U	NAOKI	2	3	6	6	10	10	6	7	9	10
5	DbPodlqiOQdD88bo8lPO9D6iql1DO8P0	BRILLIANT 2U(Orchestra Groove)	NAOKI	2	4	6	8	9	12	6	8	9	12
6	8liDbidQoI6Q01lO9iibIdboIiDl66Qo	e-motion	e.o.s	2	2	5	6	8		6	8	11	
7	Dq0Iio09Pb9iD0lbb0I0qd8Q8i10II09	GENOM SCREAMS	L.E.D.LIGHT	2	3	6	8	11		9	11	12	
8	0lDDIlQ91lq6O16q9QQ681d6Db1l0oOb	KEEP ON MOVIN'	N.M.R	2	4	5	7	9		5	9	10	
9	9doPbId8qid9I9l6ooloPQD1lq1Plb6I	PARANOiA KCET ～clean mix～	2MB	2	4	8	9	11	15	8	10	10	15
10	Pl0dPid9lQDo6PDQDqPboPqO6iIDIqoo	PARANOiA MAX～DIRTY MIX～	190	2	5	9	10	12		10	12	11	
11	DQlQ1DlPbq900oqdOo8l0d6I1lIOl99l	PUT YOUR FAITH IN ME	UZI-LAY	2	3	5	6	9		6	8	8	
12	1P9qQdiiodODqQPl0OO88iiiqdoDIPO6	SP-TRIP MACHINE～JUNGLE MIX～	DE-SIRE	2	4	8	9	10		8	9	10	
13	Pd99DQo0bD9D9oIbPIId18P6l8qlDQO6	AFRONOVA	RE-VENGE	3	5	7	9	13		8	9	13	
14	Qo9P1oOoDQIoOb8Dd0PdOdoD1D1Pbd8D	AFTER THE GAME OF LOVE	NPD3	3	1	2	6	8		5	6	8	
15	di9ddbd1lb80q98ODdod0ODQ0q6PdQP1	CUTIE CHASER	CLUB SPICE	3	3	5	7	10		5	7	10	
16	P98dl8qdoilqbPqIO86ood601o1696D8	DEAD END	N & S	3	4	7	10	12		8	9	13	
17	8O0D9P6l9P9ooQdODioDIdQPq6DiDlbl	DROP THE BOMB	Scotty D.	3	3	5	7	10		5	8	10	
18	1QIPID18qib8D9Oo9lOo8I6DPi9qiod6	DYNAMITE RAVE	NAOKI	3	3	6	10	12	12	6	7	11	12
19	q6qI6llb69D1IQq0OiP8OD06Qioob91Q	GRADIUSIC CYBER ～AMD G5 MIX～	BIG-O feat. TAKA	3	3	8	10	13		9	11	13	
20	901q61iP6lPiDqIQoQod9PDqlOPq1bb9	La Senorita	CAPTAIN.T	3	4	6	8	10		5	9	13	
21	boP0i08bqQ9d9OoP8Ol6I0l9Po01DiQb	La Senorita Virtual	2MB	3	4	8	10	12		9	10	12	
22	i8II16blIIbQQd196b616OPbPO910oi9	LOVE THIS FEELIN'	Chang ma	3	4	9	10	11		9	10	11	
23	0lDP0P06PIPl1iiIDOb919iqo1oPdlP8	PARANOiA Rebirth	190'	3	4	8	10	13		9	11	13	
24	80bQi8IQ8o1iidqd6oQiDPQoPi909olq	Silent Hill	THOMAS HOWARD	3	3	4	9	10		5	7	11	
25	9lob1d1QPd9qiPlQOQ6l0dbodOoDPq1d	think ya better D	sAmi	3	3	5	6	9		6	7	10	
26	qQ9Oo611P0dObD8q6O0Q968bbl8I91OO	TRIP MACHINE～luv mix～	2MB	3	3	9	10	12		9	10	11	
27	IQ0dIiDql9Q68d9ddQIiQbq1OPq8Db69	0.59	dj TAKA	4	3	5	8	11		5	8	10	
28	6Qq1q91q8iIPlI89qDq96bO8QDD0qOql	B4U	NAOKI	4	3	5	7	10		5	8	10	
29	P8P1dlqi9D111iIDPOP0l9DIO1l6lqO9	BABY BABY GIMME YOUR LOVE	DIVAS	4	1	2	4	7		3	5	9	
30	ii6Oooool0IoOqi1qdDo96QIil6IoOq0	BURNIN' THE FLOOR	NAOKI	4	3	5	8	10		5	7	12	
31	ioi6db99oOPPDd1db888D6oi6bb06o0P	CAN'T STOP FALLIN' IN LOVE	NAOKI	4	3	5	6	11		5	6	12	
32	i0bdP6II6dqb6lbQQ9q9OQq68i1qPddO	CELEBRATE NITE	N.M.R	4	3	6	8	11		6	8	10	
33	1q6obddbql8lQdPI19liD6PdQ0dPIODd	Don't Stop!～AMD 2nd MIX～	Dr.VIBE feat. JP Miles	4	3	5	6	10		4	5	8	
34	Q0OiPQQ8IbIDq08IO9Io0qDdoDPPdd1q	DROP OUT	NW260	4	4	8	10	13		5	9	13	
35	D81Pq66DQPiQdliqIPl0ioPOi9OlQoQ9	era (nostalmix)	TaQ	4	4	5	8	11		5	7	11	
36	O1blDPOQ8IQb00o0D89QIDIlo8b06liD	HIGHER	NM feat. SUNNY	4	3	4	7	9		4	7	10	
37	ODq019O9o1OPdq9PiPl0o8D8DQ8bid88	Holic	TaQ	4	4	7	9	11		7	8	11	
38	8l808Do60DP0qDbD066QQqP1qOQdob90	HYSTERIA	NAOKI 190	4	5	6	8	11		4	8	10	
39	8lDOiqP0biD8dD9lOQO619i1PqbqDiP8	LEADING CYBER	dj TAKA	4	3	8	9	13		7	10	13	
40	boOdPIqbDd8li0O0IqliPo1Doq99Ob09	LOVE AGAIN TONIGHT～For Melissa MIX～	NAOKI feat. PAULA TERRY	4	4	5	8	11		5	7	10	
41	6Ddo196olOPi9IQdbQ8Qbd8do8Q1obOD	MY SUMMER LOVE	MITSU-O! with GEILA	4	3	4	9	12		5	8	12	
42	1d10660Dd0IOibDI890Ild80q6ddoQO8	ORION.78(AMeuro-MIX)	RE-VENGE	4	3	4	7	12		5	8	9	
43	DPQo8Q0l9D8IPiDiq11l8OI6i11OOb6O	PARANOIA EVOLUTION	200	4	5	9	10	12		6	10	13	
44	60QoP9DoIo90D616989Q0D0iodOoOd91	SEXY PLANET	Crystal Aliens	4	3	7	8	11		5	7	10	
45	88do8dl8O6Ql1Qlb981lOi8D86oiq91P	SUPER STAR	D.J.RICH feat. TAILBROS.	4	3	7	8	12		5	9	11	
46	D81D8689llDiOqPq0IP19bbQQiioPl8d	TRIP MACHINE CLIMAX	DE-SIRE	4	5	7	9	12		7	9	12	
47	01808Q1Q6lQQ1lP0qd80I0b0qqDd1OOP	WILD RUSH	FACTOR-X	4	5	6	7	10		5	9	11	
48	qdi88l6bo1Iqi9Qiqli8lIQQIPO1doQ9	ABSOLUTE	dj TAKA	5	3	4	8	11		4	7	11	
49	Q0qQO0P8818lIoo0boO66O0qd09dIlO8	Abyss	dj TAKA	5	3	4	7	10		5	8	11	
50	18911Q6o6do9Dd1blIo6IliPd0PPb99i	AFRONOVA PRIMEVAL	8 bit	5	4	6	8	12		7	9	13	
51	iIP09bOq1l1b9b1l011IDIQ6Iill90Io	BROKEN MY HEART	NAOKI feat. PAULA TERRY	5	3	5	7	12		5	9	12	
52	DOqPd1Iid6oObd8i96I9oo8obbODb96o	CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～	NAOKI	5	4	6	9	12		5	9	12	
53	QDP0i688bQi1Idqil1dOqDdPdoIPP6Q0	DXY!	TaQ	5	5	6	9	12		6	9	12	
54	bPD6ObloQPOOiQb1DbQDdilodiddlIlb	ECSTASY	d-complex	5	4	5	8	10		6	8	11	
55	IPi69l86oqdDd8qoll61166D8969869I	Electro Tuned ( the SubS Mix )	TaQ	5	4	6	9	12		5	9	11	
56	qIDI69oIo8OlQqdqqDilI1do6IbP16Q6	Healing Vision	DE-SIRE	5	4	5	7	11		4	8	13	
57	6oldqOoilo1OoP6P9OoO8bdD9lI86qdQ	INSERTiON	NAOKI underground	5	4	6	9	13		5	9	12	
58	PP1q0iii1D6Dq9QOd0qqDOQD0160QoPD	PARANOiA ETERNAL	STM 200	5	4	8	10	13		9	11	13	
59	Qb90bo6I0Pd9181iIoOPoqPOOOQq6dQ1	STILL IN MY HEART	NAOKI	5	3	6	8	10		6	7	9	
